,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,item,condition,sentence,target,alternative,model 0 correct (max),model 0 correct (sample),model 0 target score,model 0 alternative score,model 1 correct (max),model 1 correct (sample),model 1 target score,model 1 alternative score,model 2 correct (max),model 2 correct (sample),model 2 target score,model 2 alternative score,model 3 correct (max),model 3 correct (sample),model 3 target score,model 3 alternative score,model 4 correct (max),model 4 correct (sample),model 4 target score,model 4 alternative score,lstm 0 correct (max),lstm 0 correct (sample),lstm 0 target score,lstm 0 alternative score,lstm 1 correct (max),lstm 1 correct (sample),lstm 1 target score,lstm 1 alternative score,lstm 2 correct (max),lstm 2 correct (sample),lstm 2 target score,lstm 2 alternative score,lstm 3 correct (max),lstm 3 correct (sample),lstm 3 target score,lstm 3 alternative score,lstm 4 correct (max),lstm 4 correct (sample),lstm 4 target score,lstm 4 alternative score,rnng 0 target score,rnng 0 alternative score,rnng 0 correct (max),rnng 0 correct (sample),rnng 1 target score,rnng 1 alternative score,rnng 1 correct (max),rnng 1 correct (sample),rnng 2 target score,rnng 2 alternative score,rnng 2 correct (max),rnng 2 correct (sample),rnng 3 target score,rnng 3 alternative score,rnng 3 correct (max),rnng 3 correct (sample),rnng 4 target score,rnng 4 alternative score,rnng 4 correct (max),rnng 4 correct (sample)
0,0,0,0,0,Bock1999_0_ss(verb),ss(verb),The gang leader with the dangerous rival,were,was,0,15.747496309308215,-8.166435241699219,-6.489298343658447,0,10.568691610451195,-7.355900287628174,-5.220325469970703,0,5.889143828251135,-8.458866119384767,-5.687503337860107,0,10.171184729326903,-7.706246852874756,-5.527899742126465,0,9.975080598912204,-7.953461170196532,-5.753464698791504,0,15.747496309308215,-8.166435241699219,-6.489298343658447,0,10.568691610451195,-7.355900287628174,-5.220325469970703,0,5.889143828251135,-8.458866119384767,-5.687503337860107,0,10.171184729326903,-7.706246852874756,-5.527899742126465,0,9.975080598912204,-7.953461170196532,-5.753464698791504,-82.4342,-75.9307,0,0.14959451490252162,-82.293,-78.6927,0,2.6589227801773534,-73.5586,-70.6371,0,5.110091750152821,-84.7635,-80.8415,0,1.9416968045795346,-76.2525,-74.0479,0,9.933816747822426
1,1,1,1,1,Bock1999_0_ss(tag),ss(tag),The gang leader with the dangerous rival vanished did n't,they,"he,she,it",0,15.500932533097643,-11.296452522277832,-9.600612209411356,0,32.819453834096194,-9.426798820495604,-8.710436550727168,0,33.180777879263914,-9.755361557006836,-9.055341490268518,0,37.405551342689,-8.276525497436522,-7.761668027886713,0,30.25150830703468,-9.156205177307127,-8.32085542593647,0,15.500932533097643,-11.296452522277832,-9.600612209411356,0,32.819453834096194,-9.426798820495604,-8.710436550727168,0,33.180777879263914,-9.755361557006836,-9.055341490268518,0,37.405551342689,-8.276525497436522,-7.761668027886713,0,30.25150830703468,-9.156205177307127,-8.32085542593647,-110.801,-101.97661611516602,0,0.014708043027575007,-122.784,-109.1460733352209,0,0.00011943268232824388,-105.252,-97.60982655936053,0,0.047955445200741145,-109.756,-103.55613703114466,0,0.20255973778306852,-111.306,-105.23544414271957,0,0.23045655946784066
2,2,2,2,2,Bock1999_0_ss(reflexive),ss(reflexive),The gang leader with the dangerous rival armed,themselves,"himself,herself,itself",100,60.175185941060754,-8.067703247070312,-8.480473133907813,0,2.6978038696545825,-10.933919906616213,-7.348536407392832,100,57.87678531123011,-9.43242073059082,-9.750138083732756,0,35.29451995860139,-12.900339126586914,-12.294220939340027,0,46.220633395030404,-7.981392383575439,-7.829928818993214,100,60.175185941060754,-8.067703247070312,-8.480473133907813,0,2.6978038696545825,-10.933919906616213,-7.348536407392832,100,57.87678531123011,-9.43242073059082,-9.750138083732756,0,35.29451995860139,-12.900339126586914,-12.294220939340027,0,46.220633395030404,-7.981392383575439,-7.829928818993214,-94.0195,-89.229130017213,0,0.8240905647593042,-97.8958,-96.65560253842033,0,22.44016165551707,-88.04,-82.29785571823145,0,0.31976246880746745,-97.9335,-92.82461661846776,0,0.6006530268253892,-92.0441,-91.0777113521205,0,27.560090618599713
3,3,3,3,3,Bock1999_0_sp(verb),sp(verb),The gang leader with the dangerous rivals,were,was,0,21.832666687348237,-6.370597362518311,-5.095152854919434,0,20.150139558752926,-5.545356750488281,-4.16841983795166,0,34.20975574142606,-6.511141300201416,-5.857180595397949,0,13.828464156519814,-5.888785362243652,-4.059174537658691,0,33.5556001703872,-5.037036895751953,-4.353875160217285,0,21.832666687348237,-6.370597362518311,-5.095152854919434,0,20.150139558752926,-5.545356750488281,-4.16841983795166,0,34.20975574142606,-6.511141300201416,-5.857180595397949,0,13.828464156519814,-5.888785362243652,-4.059174537658691,0,33.5556001703872,-5.037036895751953,-4.353875160217285,-81.4593,-76.3458,0,0.5979029735915509,-80.8046,-78.4739,0,8.861211496711228,-72.073,-71.2993,0,31.567926598777824,-81.99,-79.6307,0,8.632939214985111,-74.2579,-74.3261,100,51.70433944355545
4,4,4,4,4,Bock1999_0_sp(tag),sp(tag),The gang leader with the dangerous rivals vanished did n't,they,"he,she,it",0,23.51855063641791,-11.090320587158203,-9.91106186624136,0,46.29156504024429,-8.904790878295898,-8.75618057745451,0,37.48355860946304,-9.611339569091797,-9.099812384449397,0,42.954400670401036,-8.110907554626465,-7.827195721866951,0,35.698491812055074,-8.817907333374023,-8.229432688648767,0,23.51855063641791,-11.090320587158203,-9.91106186624136,0,46.29156504024429,-8.904790878295898,-8.75618057745451,0,37.48355860946304,-9.611339569091797,-9.099812384449397,0,42.954400670401036,-8.110907554626465,-7.827195721866951,0,35.698491812055074,-8.817907333374023,-8.229432688648767,-116.955,-112.83144244818249,0,1.5928986672748828,-127.574,-121.21735556822973,0,0.17321738344761908,-111.224,-98.06027208991043,0,0.0001918954926850792,-115.653,-109.53113049887811,0,0.21895451586482437,-115.147,-108.04461602467786,0,0.08224632337232192
5,5,5,5,5,Bock1999_0_sp(reflexive),sp(reflexive),The gang leader with the dangerous rivals armed,themselves,"himself,herself,itself",100,75.09615479892891,-4.525444030761719,-5.629191169847418,0,7.3497248488162015,-9.962353706359863,-7.428184660830198,100,77.3752974795298,-7.5411434173583975,-8.77076865176932,0,27.425185124443782,-10.461328506469727,-9.488172303710254,100,70.48235102035919,-5.606729507446289,-6.477103490837813,100,75.09615479892891,-4.525444030761719,-5.629191169847418,0,7.3497248488162015,-9.962353706359863,-7.428184660830198,100,77.3752974795298,-7.541143417358397,-8.77076865176932,0,27.425185124443782,-10.461328506469727,-9.488172303710254,100,70.48235102035919,-5.606729507446289,-6.477103490837813,-96.4335,-94.33469123179655,0,10.921265654419035,-95.5968,-95.98807091250896,100,59.65886081355595,-85.2973,-81.35149674288543,0,1.8968902015760365,-96.5403,-92.14583238739611,0,1.2194899601578555,-89.7114,-89.93100247387915,100,55.468104432238775
6,6,6,6,6,Bock1999_0_ps(verb),ps(verb),The gang leaders with the dangerous rival,were,was,100,85.5741575770717,-6.188241481781006,-7.9686036109924325,100,79.37182411015851,-5.139564514160156,-6.48705005645752,0,37.14595417860495,-6.164825439453125,-5.638864994049072,100,65.1953445690786,-5.964463233947754,-6.592100143432617,100,67.90480823114348,-6.384537696838379,-7.133938312530518,100,85.5741575770717,-6.188241481781006,-7.968603610992432,100,79.37182411015851,-5.139564514160156,-6.4870500564575195,0,37.14595417860495,-6.164825439453125,-5.638864994049072,100,65.1953445690786,-5.964463233947754,-6.592100143432617,100,67.90480823114348,-6.384537696838379,-7.133938312530518,-74.741,-77.523,100,94.16953519443638,-78.4807,-80.7617,100,90.72911950310782,-74.8725,-76.8823,100,88.18221814179437,-80.2157,-83.8667,100,97.46919760140148,-74.9158,-75.1201,100,55.089808891541736
7,7,7,7,7,Bock1999_0_ps(tag),ps(tag),The gang leaders with the dangerous rival vanished did n't,they,"he,she,it",0,38.8445535784379,-10.763092041015623,-10.309240992220223,100,66.98200222310508,-9.281346321105957,-9.988717480899837,100,61.1173076538981,-9.432859420776367,-9.885105289719458,100,70.4056980991147,-8.063366889953612,-8.930059249299715,0,46.62483905744703,-8.978374481201172,-8.843162420446797,0,38.8445535784379,-10.763092041015623,-10.309240992220223,100,66.98200222310508,-9.281346321105957,-9.988717480899837,100,61.1173076538981,-9.432859420776367,-9.885105289719458,100,70.4056980991147,-8.063366889953612,-8.930059249299715,0,46.62483905744703,-8.978374481201172,-8.843162420446797,-109.132,-100.22878410563112,0,0.01359325384444256,-123.047,-106.43056890308063,0,6.075410665972341e-06,-104.545,-97.85784390570532,0,0.12452709512221305,-106.48,-100.88584406608143,0,0.370575385575946,-110.67,-102.79889135958025,0,0.03814654867056932
8,8,8,8,8,Bock1999_0_ps(reflexive),ps(reflexive),The gang leaders with the dangerous rival armed,themselves,"himself,herself,itself",100,96.8823370725658,-6.805187225341798,-10.241600788255942,100,71.48452847943895,-8.414737701416017,-9.333771942448656,100,86.84522594533918,-7.981891632080077,-9.86923441557042,100,85.61478715922227,-12.23744297027588,-14.021100192775528,100,91.57964044616232,-6.939546585083008,-9.326103036488249,100,96.8823370725658,-6.805187225341798,-10.241600788255942,100,71.48452847943895,-8.414737701416017,-9.333771942448656,100,86.84522594533918,-7.981891632080077,-9.86923441557042,100,85.61478715922227,-12.23744297027588,-14.021100192775528,100,91.57964044616232,-6.939546585083008,-9.326103036488249,-91.8568,-88.47357474645403,0,3.2823850042513305,-97.182,-93.61578467978416,0,2.748579596473665,-91.1493,-83.69892212567325,0,0.05808843191305614,-96.1971,-91.6978853284797,0,1.0995479468274203,-90.8072,-89.99862086308829,0,30.819335562765353
9,9,9,9,9,Bock1999_0_pp(verb),pp(verb),The gang leaders with the dangerous rivals,were,was,100,92.5506020418092,-4.115952491760254,-6.635574817657473,100,89.32053803884766,-3.64986515045166,-5.773774147033691,100,83.51460477273712,-4.6015586853027335,-6.224105358123777,100,93.97466526903074,-3.594975471496582,-6.34202766418457,100,84.53272115229794,-3.845850944519043,-5.544262886047363,100,92.5506020418092,-4.115952491760254,-6.635574817657473,100,89.32053803884766,-3.64986515045166,-5.773774147033691,100,83.51460477273712,-4.6015586853027335,-6.224105358123777,100,93.97466526903074,-3.594975471496582,-6.34202766418457,100,84.53272115229794,-3.845850944519043,-5.544262886047363,-75.0507,-80.3307,100,99.49333706665362,-77.555,-82.2934,100,99.1323304772073,-74.9234,-78.2082,100,96.39036642900449,-77.4361,-82.2135,100,99.16524118353081,-72.7633,-75.4071,100,93.362782704108
