,Unnamed: 0,item,condition,sentence,target,alternative,lstm 0 correct (max),lstm 0 correct (sample),lstm 0 target score,lstm 0 alternative score,lstm 1 correct (max),lstm 1 correct (sample),lstm 1 target score,lstm 1 alternative score,lstm 2 correct (max),lstm 2 correct (sample),lstm 2 target score,lstm 2 alternative score,lstm 3 correct (max),lstm 3 correct (sample),lstm 3 target score,lstm 3 alternative score,lstm 4 correct (max),lstm 4 correct (sample),lstm 4 target score,lstm 4 alternative score,rnng 0 target score,rnng 0 alternative score,rnng 0 correct (max),rnng 0 correct (sample),rnng 1 target score,rnng 1 alternative score,rnng 1 correct (max),rnng 1 correct (sample),rnng 2 target score,rnng 2 alternative score,rnng 2 correct (max),rnng 2 correct (sample),rnng 3 target score,rnng 3 alternative score,rnng 3 correct (max),rnng 3 correct (sample),rnng 4 target score,rnng 4 alternative score,rnng 4 correct (max),rnng 4 correct (sample)
0,0,Bock1992_0_ss_prop,ss_prop,The demo tape from the popular rock singer,is,are,100,92.84784314008043,-7.559823989868164,-10.123372077941896,100,95.6356809885706,-6.573841094970702,-9.660924911499023,100,98.45642194916144,-7.240957260131836,-11.39646816253662,100,97.41480698030828,-5.704463005065918,-9.333641052246094,100,96.09200966556487,-7.670493125915527,-10.87277603149414,-68.4893,-73.9322,100,99.5691724551121,-65.3115,-68.6494,100,96.57063633578251,-68.6506,-70.4845,100,86.22256726386,-68.8825,-74.428,100,99.61101994125755,-66.4436,-69.6582,100,96.13800194832599
1,1,Bock1992_0_ss_rc,ss_rc,The demo tape that promoted the rock singer,is,are,100,96.8878190005643,-5.838839054107666,-9.277069091796877,100,97.04964622348857,-4.721147537231445,-8.214445114135742,100,97.02838096012935,-4.151768684387207,-7.637665271759032,100,98.54513279206014,-5.2189531326293945,-9.434553146362305,100,96.5860901013903,-7.456894397735597,-10.799470901489258,-82.8729,-88.265,100,99.54682272132904,-81.6754,-85.4167,100,97.68265075290678,-88.9426,-87.1117,0,13.813109246851543,-86.4947,-86.189,0,42.41646655863887,-86.8988,-86.0895,0,30.80396815109814
2,2,Bock1992_0_sp_prop,sp_prop,The demo tape from the popular rock singers,is,are,100,63.11685906736406,-4.839302062988281,-5.376535415649414,100,55.58086833756375,-4.941227912902832,-5.165396690368652,100,66.76415610127911,-5.148078918457031,-5.845616340637207,100,66.53939971597282,-4.571907997131348,-5.259333610534668,0,28.48481019705003,-6.456753730773926,-5.536214828491211,-62.8801,-67.4079,100,98.93110680382418,-62.1459,-65.8092,100,97.49936215829061,-64.5499,-66.2449,100,84.4880577373695,-65.1019,-68.9329,100,97.87724641669993,-63.0619,-65.2331,100,89.7633284507235
3,3,Bock1992_0_sp_rc,sp_rc,The demo tape that promoted the rock singers,is,are,100,70.88271634271453,-5.490597724914551,-6.3802924156188965,100,74.48360013338987,-3.955185890197754,-5.0264434814453125,100,73.9175936538132,-3.8232746124267583,-4.864964485168457,100,80.12033284481063,-4.43002986907959,-5.823862075805664,100,70.95086101729301,-5.37498664855957,-6.2679853439331055,-78.8672,-82.5168,100,97.46574185147551,-75.2759,-78.9356,100,97.49056995191053,-82.7567,-83.7157,100,72.29215437983349,-81.7907,-82.5512,100,68.1462279355811,-80.8018,-81.3254,100,62.798918066610966
4,4,Bock1992_0_ps_prop,ps_prop,The demo tapes from the popular rock singer,are,is,100,79.94025615611484,-7.911376953125,-9.293941497802734,100,76.55806891356573,-7.919447898864746,-9.102971076965332,100,78.18526351452951,-7.620969295501709,-8.897464752197266,0,44.29716803129193,-7.811428546905518,-7.582318305969237,0,20.32685459040043,-10.109281539916992,-8.743291854858397,-71.5516,-70.579,0,27.436257050245445,-71.2854,-70.3607,0,28.40012055873361,-69.7202,-71.0613,100,79.26707778375905,-70.1718,-75.076,100,99.2639209994496,-67.7392,-65.5345,0,9.93292208270924
5,5,Bock1992_0_ps_rc,ps_rc,The demo tapes that promoted the rock singer,are,is,100,69.93684245375972,-6.678913593292236,-7.523205757141112,100,85.58071385005259,-5.092252731323242,-6.873146057128906,100,81.06636331133818,-4.603728294372559,-6.058056354522705,100,65.1215054723541,-6.838502883911133,-7.462887287139893,0,18.375877978933424,-10.9876708984375,-9.49658489227295,-84.0715,-82.0052,0,11.241568955655284,-86.6561,-87.1313,100,61.66137858688816,-88.9163,-90.2433,100,79.03439666301227,-86.956,-89.5324,100,92.93271928550723,-86.7021,-89.6427,100,94.98173331495343
6,6,Bock1992_0_pp_prop,pp_prop,The demo tapes from the popular rock singers,are,is,100,98.64681505110585,-3.602039337158203,-7.891124248504639,100,97.6864797412973,-4.2538089752197275,-7.9968018531799325,100,95.794409607315,-4.608546257019043,-7.734335899353027,100,93.86343232001686,-4.21087646484375,-6.9384517669677725,100,92.52952787859758,-5.222543716430664,-7.739113330841064,-66.8416,-66.7031,0,46.54302428181218,-69.5962,-68.8627,0,32.44271469128068,-66.5854,-67.8624,100,78.19386773555883,-67.1353,-71.9887,100,99.22585907131098,-64.3371,-62.8581,0,18.557851090113484
7,7,Bock1992_0_pp_rc,pp_rc,The demo tapes that promoted the rock singers,are,is,100,98.16207463880819,-4.517058372497559,-8.495040893554688,100,96.92339931075813,-3.3102331161499023,-6.760328769683838,100,97.09146027503417,-3.62773323059082,-7.135735511779785,100,93.65662108827546,-4.288316726684569,-6.9805402755737305,100,81.10040922188514,-7.30867862701416,-8.765226364135742,-78.5388,-76.5965,0,12.539539491145,-81.3894,-79.9989,0,19.932794669381234,-83.1395,-87.1238,100,98.17343767974694,-85.4836,-85.2637,0,44.52454649516086,-80.2099,-83.5356,100,96.53000252256983
8,8,Bock1992_1_ss_prop,ss_prop,The pamphlet from the British government agency,is,are,100,96.98462440371704,-3.78144645690918,-7.252274513244629,100,96.78822511428619,-3.7615022659301762,-7.167203903198242,100,98.81651007305894,-4.279202461242677,-8.703999519348145,100,94.05629026793189,-4.060320854187012,-6.82188081741333,100,96.10304658135206,-4.419535636901856,-7.6247615814208975,-50.2196,-55.7388,100,99.60069544322623,-50.3433,-54.7621,100,98.80947604146968,-48.2402,-51.9427,100,97.59317708781823,-50.1901,-54.6511,100,98.85810909082467,-46.551,-49.0632,100,92.49926720077059
9,9,Bock1992_1_ss_rc,ss_rc,The pamphlet that described the government agency,is,are,100,97.26786372891931,-4.259201049804688,-7.831585884094237,100,98.11552357914415,-3.2449636459350586,-7.197459220886231,100,95.89460424964821,-3.9693994522094727,-7.120347023010254,100,92.53733255507723,-4.943545341491699,-7.461244583129883,100,87.48217140195395,-5.524397850036621,-7.468678951263428,-68.9314,-74.2454,100,99.51019108733526,-65.8984,-69.3058,100,96.79350048522664,-68.2611,-70.8158,100,92.78886309830418,-70.9597,-72.8957,100,87.39120431708002,-67.5097,-67.9428,100,60.66136763379774
