,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,item,condition,sentence,target,alternative,model 0 correct (max),model 0 correct (sample),model 0 target score,model 0 alternative score,model 1 correct (max),model 1 correct (sample),model 1 target score,model 1 alternative score,model 2 correct (max),model 2 correct (sample),model 2 target score,model 2 alternative score,model 3 correct (max),model 3 correct (sample),model 3 target score,model 3 alternative score,model 4 correct (max),model 4 correct (sample),model 4 target score,model 4 alternative score,rnng target score,rnng alternative score,model correct (max),lstm 0 correct (max),lstm 0 correct (sample),lstm 0 target score,lstm 0 alternative score,lstm 1 correct (max),lstm 1 correct (sample),lstm 1 target score,lstm 1 alternative score,lstm 2 correct (max),lstm 2 correct (sample),lstm 2 target score,lstm 2 alternative score,lstm 3 correct (max),lstm 3 correct (sample),lstm 3 target score,lstm 3 alternative score,lstm 4 correct (max),lstm 4 correct (sample),lstm 4 target score,lstm 4 alternative score,rnng 0 target score,rnng 0 alternative score,rnng 0 correct (max),rnng 0 correct (sample),rnng 1 target score,rnng 1 alternative score,rnng 1 correct (max),rnng 1 correct (sample),rnng 2 target score,rnng 2 alternative score,rnng 2 correct (max),rnng 2 correct (sample),rnng 3 target score,rnng 3 alternative score,rnng 3 correct (max),rnng 3 correct (sample),rnng 4 target score,rnng 4 alternative score,rnng 4 correct (max),rnng 4 correct (sample)
0,0,0,0,0,Franck_0_SSS,SSS,The advertisement from the office of the real estate agent,is,are,100,97.53434655433912,-3.3954753875732417,-7.073223114013673,100,98.35077647746807,-3.1725254058837886,-7.260761260986327,100,93.07463109941929,-4.3630590438842765,-6.9612693786621085,100,96.16639655468977,-3.951794624328613,-7.174069404602051,100,96.51156295364694,-4.419707298278809,-7.7399163246154785,-68.8848,-75.002,100,100,97.53434655433912,-3.3954753875732417,-7.073223114013673,100,98.35077647746807,-3.1725254058837886,-7.260761260986327,100,93.07463109941929,-4.3630590438842765,-6.9612693786621085,100,96.16639655468977,-3.951794624328613,-7.174069404602051,100,96.51156295364694,-4.419707298278809,-7.7399163246154785,-68.8848,-75.002,100,99.78002293931183,-72.0686,-75.5652,100,97.05908739956004,-67.1884,-69.5283,100,91.21280704556571,-67.6005,-73.5716,100,99.74550599466114,-67.3191,-71.9537,100,99.03833869611614
1,1,1,1,1,Franck_0_SSP,SSP,The advertisement from the office of the real estate agents,is,are,100,83.710434871166,-3.901177406311035,-5.538016319274902,100,82.4441222415809,-3.684852600097656,-5.231584548950195,100,61.17174963193926,-4.478767395019531,-4.933304786682129,100,82.28053716392489,-3.7320690155029297,-5.267539978027344,100,66.72154393688987,-4.308751106262207,-5.004368782043457,-65.8664,-69.8375,100,100,83.710434871166,-3.901177406311035,-5.538016319274902,100,82.4441222415809,-3.684852600097656,-5.231584548950195,100,61.17174963193926,-4.478767395019531,-4.933304786682129,100,82.28053716392489,-3.7320690155029297,-5.267539978027344,100,66.72154393688987,-4.308751106262207,-5.004368782043457,-65.8664,-69.8375,100,98.14961632106323,-72.5397,-75.0345,100,92.37764756954606,-66.9672,-68.0557,100,74.8099156603513,-67.9778,-71.6412,100,97.49960595730394,-65.6229,-68.1345,100,92.49510326538586
2,2,2,2,2,Franck_0_SPS,SPS,The advertisement from the offices of the real estate agent,is,are,100,93.81407026908258,-4.157219886779785,-6.8762574195861825,100,95.6588680561714,-3.624221801757813,-6.716875076293945,100,87.54262378404678,-5.165227890014648,-7.1150407791137695,100,94.75743917788047,-4.171332359313965,-7.065842628479004,100,92.72670353735151,-4.568451881408691,-7.113898754119872,-72.2707,-77.4064,100,100,93.81407026908258,-4.157219886779785,-6.8762574195861825,100,95.6588680561714,-3.624221801757813,-6.716875076293945,100,87.54262378404678,-5.165227890014648,-7.1150407791137695,100,94.75743917788047,-4.171332359313965,-7.065842628479004,100,92.72670353735151,-4.568451881408691,-7.113898754119872,-72.2707,-77.4064,100,99.41514744669338,-73.9247,-77.3936,100,96.97898078727714,-71.0317,-72.4797,100,80.96904411909307,-69.4829,-75.1929,100,99.66982650219161,-69.6381,-74.424,100,99.1722480792533
3,3,3,3,3,Franck_0_SPP,SPP,The advertisement from the offices of the real estate agents,is,are,100,68.82182110862304,-4.253472328186035,-5.04527473449707,100,59.279183866063356,-4.307847976684569,-4.683366775512695,0,43.03935206179304,-5.0545387268066415,-4.774292945861816,100,79.26980047387168,-3.8173141479492174,-5.1585798263549805,100,62.995247564262115,-4.216912269592285,-4.74892520904541,-69.3156,-72.314,100,100,68.82182110862304,-4.253472328186035,-5.04527473449707,100,59.279183866063356,-4.307847976684569,-4.683366775512695,0,43.03935206179304,-5.0545387268066415,-4.774292945861816,100,79.26980047387168,-3.8173141479492183,-5.1585798263549805,100,62.995247564262115,-4.216912269592285,-4.74892520904541,-69.3156,-72.314,100,95.25017918031607,-74.3475,-77.0239,100,93.56196153809601,-70.5672,-70.9335,100,59.056462636146165,-69.6198,-72.8683,100,96.26191748463872,-68.2109,-70.456,100,90.42270323043721
4,4,4,4,4,Franck_0_PSS,PSS,The advertisements from the office of the real estate agent,are,is,100,82.18224345949018,-3.634278297424317,-5.163022041320801,100,82.37891710799433,-3.1373424530029297,-4.6795759201049805,100,89.0580275235277,-4.0017309188842765,-6.0984129905700675,100,80.33204467337205,-4.153219223022462,-5.560397148132324,100,91.5641484777345,-3.8912105560302734,-6.275759696960449,-65.308,-66.077,100,100,82.18224345949018,-3.634278297424317,-5.163022041320801,100,82.37891710799433,-3.1373424530029297,-4.6795759201049805,100,89.0580275235277,-4.0017309188842765,-6.0984129905700675,100,80.33204467337205,-4.153219223022462,-5.560397148132324,100,91.5641484777345,-3.8912105560302734,-6.275759696960449,-65.308,-66.077,100,68.33045339662436,-66.6572,-67.3648,100,66.98706308295468,-61.7351,-61.6623,0,48.18080338328918,-63.1457,-66.2541,100,95.7237910084724,-65.7276,-62.4828,0,3.751419223122363
5,5,5,5,5,Franck_0_PSP,PSP,The advertisements from the office of the real estate agents,are,is,100,95.14200515305149,-2.9649105072021484,-5.939655303955077,100,95.7943289227426,-2.7679481506347656,-5.8937177658081055,100,98.14666153114749,-3.5833253860473637,-7.552799701690674,100,96.1240182360849,-3.074871063232422,-6.2857112884521475,100,99.04863791852398,-2.479565620422364,-7.12503719329834,-62.0269,-65.8897,100,100,95.14200515305149,-2.9649105072021484,-5.939655303955077,100,95.7943289227426,-2.7679481506347656,-5.8937177658081055,100,98.14666153114749,-3.5833253860473637,-7.552799701690674,100,96.1240182360849,-3.074871063232422,-6.2857112884521475,100,99.04863791852398,-2.4795656204223637,-7.12503719329834,-62.0269,-65.8897,100,97.94232080732138,-65.9587,-68.2743,100,91.01608096873616,-60.6364,-61.7906,100,76.02772277381014,-63.5329,-68.9695,100,99.56646147812981,-60.6087,-61.0578,100,61.04252295901953
6,6,6,6,6,Franck_0_PPS,PPS,The advertisements from the offices of the real estate agent,are,is,100,89.65393089441608,-3.709922790527344,-5.8692731857299805,100,91.83011938729216,-2.90694522857666,-5.326431274414063,100,88.67761859693705,-4.644505500793457,-6.702731609344482,100,78.68811463115308,-4.570155143737793,-5.876382350921631,100,88.05947678684298,-4.322813987731934,-6.3208885192871085,-68.1385,-69.3952,100,100,89.65393089441608,-3.709922790527344,-5.8692731857299805,100,91.83011938729216,-2.90694522857666,-5.326431274414063,100,88.67761859693705,-4.644505500793457,-6.702731609344482,100,78.68811463115308,-4.570155143737793,-5.876382350921631,100,88.05947678684299,-4.322813987731934,-6.3208885192871085,-68.1385,-69.3952,100,77.84575081142361,-68.3566,-69.024,100,66.0920731467991,-63.5478,-64.2722,100,67.3575190204174,-64.0844,-67.841,100,97.71703306493869,-67.7797,-64.9296,0,5.4676148319049105
7,7,7,7,7,Franck_0_PPP,PPP,The advertisements from the offices of the real estate agents,are,is,100,96.84257916066544,-2.901616096496582,-6.3249473571777335,100,97.19741703951831,-2.8211030960083012,-6.3673057556152335,100,98.35952902649521,-3.848457336425781,-7.942103385925293,100,96.22100569080007,-3.200225830078125,-6.437415599822997,100,97.43810389956244,-2.649169921875,-6.287639617919923,-64.7819,-69.453,100,100,96.84257916066544,-2.901616096496582,-6.3249473571777335,100,97.19741703951831,-2.8211030960083012,-6.3673057556152335,100,98.35952902649521,-3.848457336425781,-7.942103385925293,100,96.22100569080007,-3.200225830078125,-6.437415599822997,100,97.43810389956244,-2.649169921875,-6.287639617919923,-64.7819,-69.453,100,99.07248677711014,-67.9135,-70.322,100,91.74731787525984,-62.5128,-64.3999,100,86.84245206742794,-64.6182,-70.4131,100,99.69661972521318,-63.0746,-63.6546,100,64.10674063348168
8,8,8,8,8,Franck_1_SSS,SSS,The announcement by the director of the foundation,is,are,100,97.9569432771563,-3.8792552947998047,-7.749336242675781,100,98.36005829325693,-4.086538314819337,-8.180512428283691,100,98.82420096441557,-3.6374835968017583,-8.068878173828125,100,99.06504142196351,-3.447676658630371,-8.110706329345701,100,96.87012703970913,-3.5477390289306636,-6.9801177978515625,-54.6976,-60.618,100,100,97.9569432771563,-3.8792552947998047,-7.749336242675781,100,98.36005829325691,-4.086538314819337,-8.180512428283691,100,98.82420096441557,-3.6374835968017583,-8.068878173828125,100,99.06504142196351,-3.447676658630371,-8.110706329345701,100,96.87012703970913,-3.5477390289306636,-6.9801177978515625,-54.6976,-60.618,100,99.73230589362723,-55.3066,-58.3897,100,95.619022887972,-53.9088,-58.806,100,99.25878869564497,-55.7401,-61.0829,100,99.52403020156521,-53.6897,-60.1788,100,99.84823903223375
9,9,9,9,9,Franck_1_SSP,SSP,The announcement by the director of the foundations,is,are,100,82.83332097056163,-4.243489265441895,-5.817349433898926,100,80.32886518615605,-4.2756385803222665,-5.682615280151367,100,93.81467072772087,-4.137530326843262,-6.856671333312987,100,94.58326467550668,-3.5816020965576167,-6.44158935546875,100,76.92786773420127,-4.153755187988281,-5.3579978942871085,-56.2759,-61.3601,100,100,82.83332097056163,-4.243489265441895,-5.817349433898926,100,80.32886518615605,-4.2756385803222665,-5.682615280151367,100,93.81467072772087,-4.137530326843262,-6.856671333312987,100,94.58326467550668,-3.5816020965576167,-6.44158935546875,100,76.92786773420127,-4.153755187988281,-5.3579978942871085,-56.2759,-61.3601,100,99.3844287319595,-55.1676,-60.62,100,99.57322855265525,-59.6795,-63.564,100,97.9856016880305,-60.0429,-62.1407,100,89.06891664923418,-55.0951,-60.7825,100,99.66230510804576
