,Unnamed: 0,Unnamed: 0.1,item,condition,sentence,target,alternative,model 0 correct (max),model 0 correct (sample),model 0 target score,model 0 alternative score,model 1 correct (max),model 1 correct (sample),model 1 target score,model 1 alternative score,model 2 correct (max),model 2 correct (sample),model 2 target score,model 2 alternative score,model 3 correct (max),model 3 correct (sample),model 3 target score,model 3 alternative score,model 4 correct (max),model 4 correct (sample),model 4 target score,model 4 alternative score,lstm 0 correct (max),lstm 0 correct (sample),lstm 0 target score,lstm 0 alternative score,lstm 1 correct (max),lstm 1 correct (sample),lstm 1 target score,lstm 1 alternative score,lstm 2 correct (max),lstm 2 correct (sample),lstm 2 target score,lstm 2 alternative score,lstm 3 correct (max),lstm 3 correct (sample),lstm 3 target score,lstm 3 alternative score,lstm 4 correct (max),lstm 4 correct (sample),lstm 4 target score,lstm 4 alternative score,rnng 0 target score,rnng 0 alternative score,rnng 0 correct (max),rnng 0 correct (sample),rnng 1 target score,rnng 1 alternative score,rnng 1 correct (max),rnng 1 correct (sample),rnng 2 target score,rnng 2 alternative score,rnng 2 correct (max),rnng 2 correct (sample),rnng 3 target score,rnng 3 alternative score,rnng 3 correct (max),rnng 3 correct (sample),rnng 4 target score,rnng 4 alternative score,rnng 4 correct (max),rnng 4 correct (sample)
0,0,0,HumphreysBock_0_CPD,CPD,The crowd inside the subway cars,are,is,0,26.62311330246327,-4.1162376403808585,-3.1024084091186523,100,59.510610440942926,-3.648138046264648,-4.033252716064453,0,23.56820312963743,-4.8344011306762695,-3.6579008102416983,0,18.525685352339323,-4.720022201538086,-3.2388925552368164,0,41.02021858833021,-3.5268268585205083,-3.1636972427368164,0,26.62311330246327,-4.1162376403808585,-3.1024084091186523,100,59.510610440942926,-3.648138046264648,-4.033252716064453,0,23.56820312963743,-4.8344011306762695,-3.6579008102416988,0,18.525685352339323,-4.720022201538086,-3.2388925552368164,0,41.02021858833021,-3.5268268585205083,-3.1636972427368164,-62.0578,-62.8108,100,67.98320324764434,-64.2011,-63.4965,0,33.07931388438889,-60.6755,-60.3471,0,41.86299786555185,-65.6446,-63.5193,0,10.666200500582258,-59.6851,-57.5832,0,10.891228836749647
1,1,1,HumphreysBock_0_CPC,CPC,The crowd outside the subway cars,are,is,0,27.175004499937447,-4.046198844909668,-3.0604372024536133,100,55.16588833229355,-3.80888557434082,-4.016261100769043,0,27.0206319786904,-4.493436813354492,-3.4998607635498047,0,20.01425545641318,-4.608124732971191,-3.222721099853516,0,27.731298045327787,-3.976801872253418,-3.0189723968505864,0,27.175004499937447,-4.046198844909668,-3.0604372024536133,100,55.16588833229355,-3.80888557434082,-4.016261100769043,0,27.0206319786904,-4.493436813354492,-3.4998607635498047,0,20.01425545641318,-4.608124732971191,-3.222721099853516,0,27.731298045327787,-3.976801872253418,-3.0189723968505864,-62.9113,-63.4113,100,62.245933120185356,-62.7559,-62.3079,0,38.98363890571905,-61.6561,-62.0787,100,60.4105239328253,-65.4018,-64.0912,0,21.238645973153304,-61.3199,-60.0859,0,22.548209906396476
2,2,2,HumphreysBock_0_CSC,CSC,The crowd outside the subway car,are,is,0,6.224375102015397,-5.293600082397461,-2.5811681747436523,0,8.04851240345799,-5.052499771118164,-2.61672592163086,0,3.7250337542245173,-6.043600082397461,-2.791467666625977,0,9.75682694157462,-5.452051162719727,-3.2275104522705083,0,5.728938954445512,-4.987272262573242,-2.1866283416748047,0,6.224375102015397,-5.293600082397461,-2.5811681747436523,0,8.04851240345799,-5.052499771118164,-2.61672592163086,0,3.725033754224517,-6.043600082397461,-2.791467666625977,0,9.75682694157462,-5.452051162719727,-3.2275104522705083,0,5.728938954445512,-4.987272262573242,-2.1866283416748047,-58.6304,-55.8081,0,5.613095447664579,-57.0634,-55.4711,0,16.906054907327793,-55.6968,-53.5282,0,10.260587081267614,-61.9456,-58.2376,0,2.393937750971742,-57.6433,-53.3097,0,1.295031839256511
3,3,3,HumphreysBock_0_PPD,PPD,The commuters inside the subway cars,are,is,100,97.2101908635799,-2.25826358795166,-5.809165954589844,100,96.65393169487344,-2.5952587127685547,-5.958609580993652,100,96.8580936014955,-2.994948387145996,-6.423365592956543,100,92.10477654435965,-2.8088817596435547,-5.26555061340332,100,98.96288486115743,-2.15179443359375,-6.71009635925293,100,97.2101908635799,-2.25826358795166,-5.809165954589844,100,96.65393169487344,-2.5952587127685547,-5.958609580993652,100,96.8580936014955,-2.994948387145996,-6.423365592956543,100,92.10477654435965,-2.8088817596435547,-5.26555061340332,100,98.96288486115743,-2.15179443359375,-6.71009635925293,-66.8328,-72.294,100,99.57695184692092,-64.511,-69.719,100,99.45571784628508,-66.2494,-70.3075,100,98.30117642837472,-63.3323,-69.1648,100,99.70778231816837,-62.7032,-64.5102,100,85.89989060973542
4,4,4,HumphreysBock_0_PPC,PPC,The commuters outside the subway cars,are,is,100,98.15429187347648,-2.1963853836059566,-6.170063018798827,100,97.45726444572149,-2.5401573181152344,-6.186330795288086,100,97.07151902045237,-2.8959922790527344,-6.396956443786621,100,91.1488182767832,-2.772393226623535,-5.1043357849121085,100,97.81105876781851,-2.3121299743652344,-6.1117496490478525,100,98.15429187347648,-2.1963853836059566,-6.170063018798827,100,97.45726444572149,-2.5401573181152344,-6.186330795288086,100,97.07151902045237,-2.8959922790527344,-6.396956443786621,100,91.1488182767832,-2.772393226623535,-5.1043357849121085,100,97.81105876781851,-2.3121299743652344,-6.1117496490478525,-67.0277,-72.303,100,99.49096229632308,-62.7608,-67.9001,100,99.41723688274497,-65.1942,-69.7639,100,98.97451832773172,-63.9628,-69.8112,100,99.71237857856553,-62.7603,-65.3713,100,93.15661744319424
5,5,5,HumphreysBock_0_PSC,PSC,The commuters outside the subway car,are,is,100,91.31569367142716,-2.611571311950684,-4.964376449584961,100,87.45168098654287,-2.5302143096923837,-4.471714019775392,100,87.52472423437783,-3.3759994506835938,-5.324172019958496,100,76.44206842878701,-3.266610145568848,-4.443680763244629,100,88.3827648889374,-2.6035337448120117,-4.632720947265625,100,91.31569367142716,-2.611571311950684,-4.964376449584961,100,87.45168098654287,-2.5302143096923833,-4.4717140197753915,100,87.52472423437783,-3.3759994506835938,-5.324172019958496,100,76.44206842878701,-3.266610145568848,-4.443680763244629,100,88.3827648889374,-2.603533744812012,-4.632720947265625,-59.9951,-61.0767,100,74.6796649050538,-57.4658,-60.8038,100,96.57096749619113,-58.1903,-61.1032,100,94.84804582882862,-59.8154,-65.0588,100,99.47454891634735,-57.9879,-58.9281,100,71.91400547140645
6,6,6,HumphreysBock_1_CPD,CPD,The jury in the folding chairs,are,is,0,21.311653470647087,-4.7430381774902335,-3.4367971420288086,100,68.32477897824535,-3.6241531372070312,-4.392890930175781,0,41.69086148131578,-4.921999931335449,-4.586523056030273,100,64.46143043708715,-4.1619157791137695,-4.757364273071289,0,47.12691056001484,-3.642719268798828,-3.5276689529418945,0,21.311653470647087,-4.7430381774902335,-3.4367971420288086,100,68.32477897824535,-3.6241531372070312,-4.392890930175781,0,41.69086148131578,-4.921999931335449,-4.586523056030273,100,64.46143043708715,-4.1619157791137695,-4.757364273071289,0,47.12691056001484,-3.642719268798828,-3.5276689529418945,-68.767,-67.6577,0,24.800141322926677,-59.8636,-60.5854,100,67.30032661208986,-63.6873,-62.8099,0,29.37168523619552,-67.3821,-65.3921,0,12.025686246775196,-63.2398,-62.2573,0,27.239601075715715
7,7,7,HumphreysBock_1_CPC,CPC,The jury near the folding chairs,are,is,0,31.097160764685913,-4.290584564208984,-3.495003700256348,100,71.9614590636057,-3.2834529876708984,-4.226003646850587,0,35.68160204092405,-5.116833686828613,-4.527623176574707,0,44.23344184136237,-4.336441993713379,-4.104748725891113,100,53.87362891437221,-3.3007488250732417,-3.456005096435547,0,31.097160764685913,-4.2905845642089835,-3.495003700256348,100,71.9614590636057,-3.2834529876708984,-4.226003646850587,0,35.68160204092405,-5.116833686828613,-4.527623176574707,0,44.23344184136237,-4.336441993713379,-4.104748725891113,100,53.87362891437221,-3.3007488250732417,-3.456005096435547,-70.7627,-69.6605,0,24.932790766450548,-64.9198,-66.0005,100,74.66264289806416,-66.7803,-65.5096,0,21.91374471801689,-70.6864,-69.6682,0,26.53781669751772,-67.8949,-67.6681,0,44.354180197332646
8,8,8,HumphreysBock_1_CSC,CSC,The jury near the folding chair,are,is,0,5.569976791606575,-5.7530269622802725,-2.922558784484864,0,11.416158735600428,-4.686363220214844,-2.6374435424804688,0,2.1225458509171435,-7.228193759918213,-3.3970937728881836,0,6.731664081713301,-5.757551193237305,-3.1288928985595703,0,12.356760458730216,-4.364902496337892,-2.4058313369750977,0,5.569976791606575,-5.7530269622802725,-2.9225587844848637,0,11.416158735600428,-4.686363220214844,-2.6374435424804688,0,2.1225458509171435,-7.228193759918213,-3.397093772888184,0,6.731664081713301,-5.757551193237305,-3.1288928985595703,0,12.356760458730216,-4.3649024963378915,-2.4058313369750977,-73.2089,-67.6586,0,0.3871246390513427,-64.1959,-63.0239,0,23.649366515084004,-67.3959,-64.4366,0,4.929880363747787,-68.0308,-65.8047,0,9.74310621208354,-70.0152,-65.9225,0,1.6419981792748208
9,9,9,HumphreysBock_1_PPD,PPD,The jurors in the folding chairs,are,is,100,95.3795848046833,-2.423654556274414,-5.4510345458984375,100,98.76754324083393,-1.7732763290405271,-6.157035827636719,100,96.66918374821665,-2.4265289306640625,-5.7946062088012695,100,97.63845047126641,-2.8883647918701167,-6.610318183898926,100,97.09453693451476,-2.1051130294799805,-5.614205360412598,100,95.3795848046833,-2.423654556274414,-5.4510345458984375,100,98.76754324083393,-1.7732763290405271,-6.157035827636719,100,96.66918374821665,-2.4265289306640625,-5.7946062088012695,100,97.63845047126641,-2.8883647918701167,-6.610318183898926,100,97.09453693451476,-2.1051130294799805,-5.614205360412598,-61.6482,-67.2406,100,99.62877575460264,-58.6405,-63.6413,100,99.33124654226954,-60.2852,-63.916,100,97.41888850292085,-61.8784,-67.5509,100,99.65725315641637,-59.2797,-61.8548,100,92.92417635769395
